,id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,image_url,state,lat,long,posting_date
35397,7315639805,los angeles,4000,2012.0,ford,fusion se,good,4 cylinders,gas,145000.0,clean,automatic,fwd,compact,sedan,black,https://images.craigslist.org/00404_7AHugzQjtBJz_0CI0t2_600x450.jpg,ca,33.7855,-118.2645,2021-05-01T20:55:01-0700
13024,7312666733,prescott,119995,2021.0,chevrolet,corvette c8 z51,new,8 cylinders,gas,167.0,clean,automatic,rwd,mid-size,convertible,orange,https://images.craigslist.org/00g0g_7Y5TwZ2CUj1z_0gw0co_600x450.jpg,az,34.630383,-112.405071,2021-04-25T21:09:02-0700
156017,7311544017,cedar rapids,2000,2004.0,volvo,v70,good,5 cylinders,gas,209567.0,clean,automatic,fwd,full-size,sedan,white,https://images.craigslist.org/00808_dUk4Zj2pcnqz_0gl0t2_600x450.jpg,ia,41.6726,-91.3141,2021-04-23T15:13:55-0500
370747,7315263026,dallas / fort worth,8995,2012.0,cadillac,srx luxury,excellent,6 cylinders,gas,116500.0,rebuilt,automatic,fwd,full-size,SUV,grey,https://images.craigslist.org/00E0E_cKkz7qhMkIbz_0CI0t2_600x450.jpg,tx,32.8211,-97.1756,2021-05-01T08:55:21-0500
181370,7315412641,baltimore,2999,2007.0,ford,escape xlt,excellent,4 cylinders,gas,160000.0,clean,automatic,fwd,full-size,SUV,red,https://images.craigslist.org/00s0s_5uWRUA2mZyVz_0CI0t2_600x450.jpg,md,38.8565,-77.0592,2021-05-01T14:15:55-0400
134589,7314923747,lewiston / clarkston,53000,2018.0,gmc,sierra 3500hd,like new,8 cylinders,diesel,15675.0,salvage,automatic,4wd,full-size,truck,white,https://images.craigslist.org/00101_71wBkGQuhEKz_0CI0t2_600x450.jpg,id,45.926416,-116.122825,2021-04-30T11:13:52-0700
306452,7310158835,oklahoma city,4950,2012.0,kia,sorento,good,4 cylinders,gas,148765.0,clean,automatic,4wd,mid-size,SUV,purple,https://images.craigslist.org/00i0i_9VCPKyL4Xkbz_0CI0t2_600x450.jpg,ok,35.506772,-97.565618,2021-04-20T20:57:16-0500
152841,7306909805,indianapolis,26990,2016.0,ford,econoline commercial cutaway,good,10 cylinders,gas,105070.0,clean,automatic,rwd,full-size,truck,white,https://images.craigslist.org/00e0e_14rzcosGDsWz_0kE0fu_600x450.jpg,in,40.468785,-74.281707,2021-04-14T17:35:42-0400
56600,7315109936,san diego,8900,2012.0,audi,a3,excellent,4 cylinders,gas,130946.0,clean,automatic,fwd,mid-size,wagon,black,https://images.craigslist.org/01111_85Vg8KFFXoPz_0gw0co_600x450.jpg,ca,32.7185,-117.1593,2021-04-30T17:12:26-0700
379698,7306609324,odessa / midland,17995,2011.0,ford,mustang gt convertible,excellent,8 cylinders,gas,92984.0,clean,automatic,rwd,sub-compact,convertible,white,https://images.craigslist.org/00Q0Q_5gtL53bhPCIz_0cU08B_600x450.jpg,tx,30.3432,-97.738975,2021-04-14T08:17:37-0500
278222,7316245702,rochester,21900,2008.0,jeep,wrangler,like new,6 cylinders,gas,50000.0,clean,automatic,4wd,mid-size,offroad,brown,https://images.craigslist.org/00C0C_fOKbnDBaGMRz_0CI0t2_600x450.jpg,ny,43.0695,-77.5141,2021-05-03T12:13:15-0400
158791,7304496831,des moines,3200,2003.0,pontiac,montana,fair,6 cylinders,gas,154000.0,clean,automatic,fwd,full-size,mini-van,white,https://images.craigslist.org/01515_gZf3XPu0OY2z_0uY0ne_600x450.jpg,ia,41.8994,-93.6024,2021-04-09T20:20:06-0500
259757,7315412824,albuquerque,24900,2013.0,chevrolet,2500,excellent,8 cylinders,diesel,147000.0,clean,automatic,4wd,full-size,truck,white,https://images.craigslist.org/00G0G_fL7YVKT3xqYz_0ww0oo_600x450.jpg,nm,35.147,-97.372,2021-05-01T12:16:11-0600
304550,7316335346,oklahoma city,0,2014.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,149060.0,clean,automatic,4wd,mid-size,truck,green,https://images.craigslist.org/00101_c0Z0Z97hAFwz_0ak07K_600x450.jpg,ok,34.19709,-97.16056,2021-05-03T13:28:59-0500
25957,7315035494,fresno / madera,10450,2010.0,bmw,3-series,excellent,6 cylinders,gas,109805.0,clean,automatic,rwd,compact,sedan,white,https://images.craigslist.org/00404_6GTbnDmMAjTz_0cU09G_600x450.jpg,ca,36.905852,-119.794299,2021-04-30T14:27:51-0700
365697,7312173069,austin,800,2003.0,infiniti,g35,salvage,6 cylinders,gas,150000.0,missing,automatic,rwd,mid-size,sedan,red,https://images.craigslist.org/00c0c_e1Kjl0uGjXmz_0t20CI_600x450.jpg,tx,30.1388,-97.2921,2021-04-24T20:02:08-0500
114015,7316249873,space coast,1,2020.0,acura,tlx,excellent,6 cylinders,gas,21347.0,clean,other,4wd,compact,sedan,grey,https://images.craigslist.org/00V0V_bmNpM9vxT4pz_0kE0fu_600x450.jpg,fl,28.466088,-81.396429,2021-05-03T12:19:29-0400
69305,7314567384,visalia-tulare,4700,2011.0,chevrolet,impala,good,6 cylinders,gas,167000.0,clean,automatic,rwd,full-size,sedan,silver,https://images.craigslist.org/01313_aW05tjasJFDz_0CI0t2_600x450.jpg,ca,36.524,-119.395,2021-04-29T15:33:36-0700
4615,7310493965,montgomery,35000,1966.0,ford,mustang,excellent,8 cylinders,gas,100000.0,clean,manual,rwd,mid-size,convertible,red,https://images.craigslist.org/00G0G_5Zu89Z7McFz_0BH0t2_600x450.jpg,al,32.3736,-86.1833,2021-04-21T14:25:21-0500
280164,7303419689,rochester,17995,2015.0,audi,q5 3.0t premium plus,excellent,6 cylinders,gas,103100.0,clean,automatic,4wd,compact,SUV,white,https://images.craigslist.org/00N0N_9m9amsNgGNqz_0ak07K_600x450.jpg,ny,43.218365,-77.758032,2021-04-07T19:46:50-0400
287633,7307720866,akron / canton,22433,2015.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,110573.0,clean,automatic,4wd,mid-size,truck,black,https://images.craigslist.org/00B0B_6gk3WPonTBqz_0ak07K_600x450.jpg,oh,41.24643,-81.35853,2021-04-16T11:26:17-0400
337766,7307914323,pittsburgh,21900,2013.0,jeep,wrangler,excellent,4 cylinders,gas,93000.0,clean,automatic,4wd,full-size,other,black,https://images.craigslist.org/00000_4VvHhtOTIDXz_0CI0ix_600x450.jpg,pa,40.71,-80.105,2021-04-16T16:18:21-0400
196941,7315817694,detroit metro,5200,2009.0,chevrolet,impala lt,excellent,6 cylinders,gas,132000.0,clean,automatic,fwd,mid-size,sedan,silver,https://images.craigslist.org/00000_31II5fPvvewz_0CI0t2_600x450.jpg,mi,42.7262,-83.0268,2021-05-02T13:24:45-0400
221674,7315228719,springfield,5995,1996.0,ford,mustang convertible gt,excellent,8 cylinders,gas,96000.0,clean,automatic,rwd,mid-size,convertible,red,https://images.craigslist.org/01212_5c9AGzQwyztz_0CI0rE_600x450.jpg,mo,36.2682,-92.578,2021-05-01T07:12:35-0500
319126,7316212071,medford-ashland,19999,2011.0,ford,f150 (eco boost) 4x4,excellent,6 cylinders,gas,157618.0,clean,automatic,4wd,full-size,pickup,grey,https://images.craigslist.org/00B0B_7pl22cJSFDJz_0CI0t2_600x450.jpg,or,42.3477,-122.887331,2021-05-03T08:21:15-0700
24730,7306736111,chico,900,1994.0,jeep,cherokee,good,6 cylinders,gas,243000.0,clean,automatic,4wd,mid-size,SUV,green,https://images.craigslist.org/00505_3xPOgMW4LgHz_0CI0t2_600x450.jpg,ca,39.81632,-121.811337,2021-04-14T09:52:56-0700
333513,7313785970,philadelphia,16499,2012.0,toyota,sienna,like new,6 cylinders,gas,96000.0,clean,automatic,fwd,mid-size,mini-van,grey,https://images.craigslist.org/00n0n_bshK0EIpyE1z_0CI0t2_600x450.jpg,pa,40.1166,-75.0198,2021-04-28T09:52:48-0400
304001,7316253256,lawton,0,2005.0,ford,expedition,excellent,8 cylinders,gas,150000.0,clean,automatic,rwd,full-size,SUV,black,https://images.craigslist.org/00000_kLVys2VV6Dnz_0ak07K_600x450.jpg,ok,34.19709,-97.16056,2021-05-03T11:24:34-0500
63526,7316920755,stockton,19999,2006.0,ram,2500,excellent,6 cylinders,diesel,161147.0,clean,automatic,4wd,full-size,pickup,white,https://images.craigslist.org/00O0O_dven2X3YvPgz_0cU09G_600x450.jpg,ca,38.608933,-121.430188,2021-05-04T13:23:53-0700
276979,7315137125,new york city,9850,2011.0,subaru,outback 3.6r ltd h6 awd,like new,6 cylinders,gas,132860.0,clean,automatic,4wd,mid-size,SUV,silver,https://images.craigslist.org/00x0x_biVr50aVJv0z_0CI0t2_600x450.jpg,ny,41.3253,-72.2108,2021-04-30T21:33:06-0400
299577,7304104535,dayton / springfield,0,2016.0,nissan,rogue,excellent,4 cylinders,gas,81245.0,clean,automatic,4wd,mid-size,wagon,blue,https://images.craigslist.org/00u0u_7CQvilLSzBtz_0ak07K_600x450.jpg,oh,39.1301,-84.60104,2021-04-09T09:36:20-0400
65864,7307853395,stockton,4999,2004.0,honda,odyssey ex,excellent,6 cylinders,gas,186385.0,clean,automatic,4wd,full-size,van,blue,https://images.craigslist.org/00y0y_eSZ6zVJ78buz_07K05O_600x450.jpg,ca,37.6236,-120.9966,2021-04-16T11:40:23-0700
20569,7305446590,little rock,0,2016.0,kia,sorento lx,good,4 cylinders,gas,114169.0,clean,automatic,fwd,mid-size,SUV,grey,https://images.craigslist.org/00505_dutkCcIVCu5z_0qt0hE_600x450.jpg,ar,33.211598,-92.656631,2021-04-11T20:25:55-0500
47755,7305868681,redding,17999,2012.0,ford,super duty f-250 srw,excellent,8 cylinders,gas,160264.0,clean,automatic,rwd,full-size,pickup,white,https://images.craigslist.org/01717_d3PgbtbDIpLz_09G07g_600x450.jpg,ca,38.608933,-121.430188,2021-04-12T14:20:15-0700
11627,7316186488,phoenix,41950,2016.0,toyota,sequoia 4wd platinum,excellent,8 cylinders,gas,94000.0,clean,automatic,4wd,full-size,SUV,grey,https://images.craigslist.org/01010_3fl4V9BJ0eaz_0CI0t2_600x450.jpg,az,33.582442,-111.9262,2021-05-03T07:39:27-0700
367367,7317012111,corpus christi,16777,2016.0,ford,explorer police interceptor,like new,6 cylinders,gas,70000.0,clean,automatic,4wd,full-size,SUV,black,https://images.craigslist.org/00202_dhEqd3T6qDoz_0CI0t2_600x450.jpg,tx,29.5563,-98.3643,2021-05-04T18:26:57-0500
378749,7312260277,mcallen / edinburg,9900,2007.0,chevrolet,suburban,like new,8 cylinders,gas,60000.0,clean,automatic,rwd,full-size,SUV,red,https://images.craigslist.org/00I0I_cCRx6n3p0g6z_0ak07K_600x450.jpg,tx,26.2044,-98.1537,2021-04-25T06:48:10-0500
357149,7314425960,memphis,3500,2004.0,ford,escape,fair,6 cylinders,gas,228503.0,clean,automatic,fwd,full-size,SUV,grey,https://images.craigslist.org/00s0s_j7vG68qgrDUz_0lM0t2_600x450.jpg,tn,35.204644,-89.873743,2021-04-29T13:11:05-0500
118178,7314470192,tampa bay area,11200,1995.0,gmc,topkick,good,6 cylinders,diesel,143000.0,clean,manual,rwd,full-size,truck,white,https://images.craigslist.org/00a0a_5igI837e83Bz_0CI0t2_600x450.jpg,fl,28.156382,-82.430463,2021-04-29T15:27:40-0400
187848,7313954043,boston,7900,1968.0,volkswagen,bus,salvage,4 cylinders,gas,124891.0,clean,manual,rwd,mid-size,van,red,https://images.craigslist.org/01515_fueD1a75iiz_0u80mB_600x450.jpg,ma,42.5911,-71.3556,2021-04-28T14:32:36-0400
287368,7309905251,akron / canton,27433,2005.0,chevrolet,corvette,excellent,8 cylinders,gas,43204.0,clean,manual,rwd,sub-compact,coupe,red,https://images.craigslist.org/01111_4ZF7X9wpxrjz_0ak07K_600x450.jpg,oh,41.24643,-81.35853,2021-04-20T13:32:29-0400
104574,7316189228,orlando,23999,2014.0,lexus,is250,excellent,6 cylinders,gas,32000.0,clean,automatic,4wd,mid-size,sedan,black,https://images.craigslist.org/00i0i_9KQO2SlKGyz_0CI0t2_600x450.jpg,fl,28.4637,-81.3948,2021-05-03T10:44:19-0400
65337,7310665757,stockton,1900,2003.0,mitsubishi,galant es,good,4 cylinders,gas,200894.0,clean,automatic,fwd,compact,sedan,blue,https://images.craigslist.org/00505_8mvZCtVrQOOz_0CI0t2_600x450.jpg,ca,37.8134,-121.2132,2021-04-21T18:27:51-0700
68674,7304694673,ventura county,6250,2008.0,nissan,altima 2.5s,excellent,4 cylinders,gas,133200.0,clean,automatic,fwd,full-size,sedan,silver,https://images.craigslist.org/00E0E_2HowlHalO4Nz_0CI0t2_600x450.jpg,ca,34.2262,-118.447,2021-04-10T08:46:05-0700
336999,7311347416,pittsburgh,5800,1994.0,buick,park avenue,excellent,6 cylinders,gas,130000.0,clean,automatic,fwd,full-size,sedan,green,https://images.craigslist.org/00707_1dR3GaOYk3Lz_0CI0t2_600x450.jpg,pa,42.1133,-80.0976,2021-04-23T11:04:21-0400
253682,7315690398,north jersey,14900,2005.0,mercedes-benz,benz slk 350,excellent,6 cylinders,gas,58200.0,clean,automatic,rwd,compact,convertible,black,https://images.craigslist.org/00A0A_a75ethuesA9z_0CI0t2_600x450.jpg,nj,40.9473,-74.296,2021-05-02T08:17:34-0400
309613,7309303421,tulsa,0,2018.0,gmc,sierra 1500,excellent,8 cylinders,gas,43126.0,clean,automatic,4wd,mid-size,truck,white,https://images.craigslist.org/01414_a1Ii9QIcApVz_0ak07K_600x450.jpg,ok,36.72137,-95.93518,2021-04-19T11:34:37-0500
68859,7303477735,ventura county,6995,2012.0,chevrolet,express g 2500,good,8 cylinders,gas,280887.0,clean,automatic,rwd,full-size,van,white,https://images.craigslist.org/00606_76NccgGTdpjz_0t20CI_600x450.jpg,ca,34.3046,-118.6844,2021-04-07T19:31:49-0700
271582,7311836673,ithaca,16800,2013.0,toyota,highlander plus,excellent,6 cylinders,gas,94662.0,clean,automatic,4wd,full-size,SUV,grey,https://images.craigslist.org/00Y0Y_iRkQmNkFon8z_0kE0fu_600x450.jpg,ny,42.101285,-75.926773,2021-04-24T10:29:18-0400
157182,7313283175,des moines,8500,2016.0,ford,focus se,excellent,4 cylinders,gas,50669.0,salvage,automatic,fwd,compact,hatchback,white,https://images.craigslist.org/00v0v_8SF1PwrqSyxz_07K0ak_600x450.jpg,ia,41.5887,-93.6212,2021-04-27T08:53:18-0500
65332,7310708231,stockton,6500,2006.0,toyota,highlander,excellent,6 cylinders,hybrid,172000.0,clean,automatic,4wd,full-size,SUV,grey,https://images.craigslist.org/00b0b_8r2w5Cgii8Zz_0CI0t2_600x450.jpg,ca,37.7364,-121.4691,2021-04-21T21:19:41-0700
21794,7313681627,bakersfield,29950,2017.0,chevrolet,silverado 2500 hd,excellent,8 cylinders,gas,172769.0,clean,automatic,4wd,full-size,truck,silver,https://images.craigslist.org/00m0m_hLc3LzqVsWTz_0CI0t2_600x450.jpg,ca,33.794656,-117.992994,2021-04-27T20:02:39-0700
35819,7307423962,mendocino county,0,2018.0,toyota,c-hr,excellent,4 cylinders,gas,49061.0,clean,automatic,fwd,compact,wagon,red,https://images.craigslist.org/00909_6NAhbCsiUO4z_0ak07K_600x450.jpg,ca,39.03292,-122.92535,2021-04-15T14:31:18-0700
299824,7316882450,lima / findlay,7950,2012.0,ford,edge se,good,6 cylinders,gas,150804.0,clean,automatic,fwd,full-size,SUV,blue,https://images.craigslist.org/00M0M_2f7loiW0qQoz_0CI0t2_600x450.jpg,oh,40.733974,-84.113173,2021-05-04T15:18:53-0400
226324,7303844366,bozeman,9500,2010.0,toyota,highlander,good,6 cylinders,gas,217000.0,clean,automatic,4wd,mid-size,SUV,green,https://images.craigslist.org/00D0D_ekZ38sYWBRLz_0xS0pp_600x450.jpg,mt,45.6693,-111.0431,2021-04-08T14:32:02-0600
173506,7306915215,louisville,38990,2016.0,mitsubishi,fuso fe180,good,4 cylinders,diesel,33474.0,clean,automatic,rwd,full-size,truck,white,https://images.craigslist.org/01212_6SnZSq8NWqHz_0kE0fu_600x450.jpg,ky,40.468785,-74.281707,2021-04-14T17:45:59-0400
245899,7302892832,lincoln,1900,2006.0,chevrolet,cobalt,salvage,6 cylinders,gas,87000.0,clean,automatic,rwd,mid-size,coupe,blue,https://images.craigslist.org/00U0U_acgTNRiSFoZz_0CI0t2_600x450.jpg,ne,40.827789,-96.693506,2021-04-06T18:34:47-0500
420942,7310078056,madison,30995,2017.0,ford,f-150,excellent,6 cylinders,gas,72955.0,clean,automatic,4wd,full-size,truck,red,https://images.craigslist.org/00P0P_4W5ImGPunuhz_0kE0fu_600x450.jpg,wi,43.302071,-88.376508,2021-04-20T17:31:19-0500
99638,7310839430,jacksonville,5900,2009.0,kia,sportage lx,good,6 cylinders,gas,90804.0,clean,automatic,4wd,full-size,SUV,red,https://images.craigslist.org/00O0O_hoFUv0UwTHez_0CI0t2_600x450.jpg,fl,30.286603,-81.553709,2021-04-22T11:06:38-0400
14556,7315497822,tucson,9950,2004.0,ford,explorer sport trac,excellent,6 cylinders,gas,120250.0,clean,automatic,4wd,mid-size,truck,silver,https://images.craigslist.org/00707_c0XKQLFDB3Jz_0CI0lM_600x450.jpg,az,32.269985,-110.977868,2021-05-01T13:49:02-0700
172751,7312938033,louisville,11995,2012.0,audi,q5,like new,4 cylinders,gas,112100.0,clean,automatic,4wd,full-size,SUV,black,https://images.craigslist.org/00i0i_bqf7raANkq8_600x450.jpg,ky,38.189146,-85.63993,2021-04-26T14:29:40-0400
91163,7314939000,delaware,22000,1982.0,jeep,cj7 laredo,excellent,6 cylinders,gas,39089.0,clean,manual,4wd,compact,other,white,https://images.craigslist.org/01717_aDBqNhnEUnH_0ww0oo_600x450.jpg,de,38.7381,-75.1747,2021-04-30T14:39:13-0400
66925,7315289655,ventura county,6700,2005.0,honda,pilot ex-l,excellent,6 cylinders,gas,163738.0,clean,automatic,4wd,full-size,SUV,silver,https://images.craigslist.org/00Y0Y_dtAJb1rhavCz_0B90t2_600x450.jpg,ca,34.2262,-118.447,2021-05-01T07:48:53-0700
98747,7314054559,jacksonville,57950,2020.0,gmc,sierra at4,excellent,8 cylinders,gas,14829.0,clean,automatic,4wd,full-size,truck,black,https://images.craigslist.org/00t0t_AOzg8OFHNlz_0CI0t2_600x450.jpg,fl,30.207288,-81.738969,2021-04-28T17:31:54-0400
57465,7315201050,san luis obispo,3600,2000.0,honda,civic,good,4 cylinders,gas,163000.0,clean,manual,fwd,compact,coupe,white,https://images.craigslist.org/00o0o_16gr1xbWAQHz_0CI0t2_600x450.jpg,ca,35.6406,-120.7003,2021-05-01T01:14:12-0700
419588,7303723338,la crosse,34500,2018.0,ram,1500,excellent,8 cylinders,gas,64000.0,clean,automatic,4wd,full-size,truck,red,https://images.craigslist.org/00F0F_ikVl6MTqvzFz_0x20on_600x450.jpg,wi,43.8974,-91.2314,2021-04-08T12:14:09-0500
156612,7315934648,des moines,7500,1998.0,jeep,wrangler,good,6 cylinders,gas,122000.0,clean,manual,4wd,compact,SUV,black,https://images.craigslist.org/00x0x_6QdydJlISKFz_0CI0t2_600x450.jpg,ia,41.6381,-93.6203,2021-05-02T16:14:20-0500
88341,7316597542,"washington, DC",2500,1995.0,subaru,legacy l wagon,excellent,4 cylinders,gas,142238.0,clean,automatic,4wd,sub-compact,wagon,red,https://images.craigslist.org/00x0x_bqZkSOd9jURz_0CI0t2_600x450.jpg,dc,38.7589,-77.0873,2021-05-04T00:47:48-0400
348986,7302027203,greenville / upstate,46900,2015.0,chevrolet,silverado 3500hd,excellent,8 cylinders,diesel,138000.0,clean,automatic,4wd,full-size,truck,red,https://images.craigslist.org/00w0w_9ek4JGrTVLEz_0kE0fu_600x450.jpg,sc,36.277274,-80.339826,2021-04-05T10:13:29-0400
118300,7314323693,tampa bay area,1,2016.0,nissan,370z,excellent,6 cylinders,gas,19141.0,clean,other,rwd,mid-size,coupe,black,https://images.craigslist.org/00O0O_cpOPhITXuDQz_0kE0fu_600x450.jpg,fl,28.466088,-81.396429,2021-04-29T11:20:36-0400
277953,7306926434,plattsburgh-adirondacks,34990,2001.0,ford,super duty f-350 drw,good,8 cylinders,diesel,70200.0,clean,automatic,4wd,full-size,truck,custom,https://images.craigslist.org/00J0J_c18ZjM69pfRz_0kE0fu_600x450.jpg,ny,40.468785,-74.281707,2021-04-14T18:07:56-0400
156107,7309835877,cedar rapids,13995,2004.0,toyota,tundra limited,good,8 cylinders,gas,185923.0,clean,automatic,4wd,full-size,truck,green,https://images.craigslist.org/00k0k_i5qa9aEmA8zz_0ak07K_600x450.jpg,ia,42.20047,-91.784549,2021-04-20T10:52:25-0500
273969,7311308512,long island,4900,2004.0,chevrolet,avalanche,good,8 cylinders,gas,192000.0,clean,automatic,4wd,full-size,truck,green,https://images.craigslist.org/00O0O_FMnyaHkCWaz_0CI0t2_600x450.jpg,ny,40.8231,-73.1958,2021-04-23T09:56:56-0400
41324,7316536469,orange county,3500,2002.0,toyota,rav4,excellent,4 cylinders,gas,230000.0,clean,automatic,fwd,compact,SUV,black,https://images.craigslist.org/00202_dZuGhtdht9qz_0CI0t2_600x450.jpg,ca,33.697608,-117.963724,2021-05-03T17:52:29-0700
63548,7316917537,stockton,16999,2015.0,chevrolet,silverado 2500hd built after aug 14,excellent,8 cylinders,gas,149353.0,clean,automatic,rwd,full-size,pickup,white,https://images.craigslist.org/01515_4QCm5UArWsqz_0cU09G_600x450.jpg,ca,38.608933,-121.430188,2021-05-04T13:18:06-0700
271432,7301661261,hudson valley,1000,2008.0,chevrolet,cobalt ss,fair,4 cylinders,gas,160000.0,clean,manual,fwd,compact,coupe,red,https://images.craigslist.org/00909_1WtAKz2u3QIz_0ik0CI_600x450.jpg,ny,41.5325,-73.6628,2021-04-04T11:20:28-0400
377945,7315396449,lubbock,6900,2014.0,chevrolet,cruze ls,excellent,4 cylinders,gas,119000.0,clean,automatic,fwd,full-size,sedan,black,https://images.craigslist.org/00B0B_dKE5rmpJhknz_0cU09G_600x450.jpg,tx,33.3299,-101.7122,2021-05-01T12:49:34-0500
162104,7311431739,omaha / council bluffs,29990,2011.0,ford,super duty f-450 drw,good,8 cylinders,diesel,137481.0,clean,automatic,4wd,full-size,truck,white,https://images.craigslist.org/00K0K_87AJMIBbJRUz_0kE0fu_600x450.jpg,ia,40.468785,-74.281707,2021-04-23T12:15:11-0500
388188,7307975114,vermont,11995,2007.0,ford,e350 van,excellent,8 cylinders,gas,91100.0,clean,automatic,rwd,full-size,van,silver,https://images.craigslist.org/00808_lKhLKPaHL69z_0t20CI_600x450.jpg,vt,43.7837,-73.2949,2021-04-16T18:07:33-0400
108261,7315914136,sarasota-bradenton,976,2002.0,dodge,dakota,good,6 cylinders,gas,100000.0,clean,automatic,rwd,mid-size,truck,white,https://images.craigslist.org/00h0h_aaksvR6aj1Iz_0CI0pS_600x450.jpg,fl,27.4072,-82.5303,2021-05-02T16:30:44-0400
343969,7316855881,charleston,6490,2007.0,saturn,vue,excellent,4 cylinders,hybrid,98001.0,clean,automatic,fwd,sub-compact,SUV,blue,https://images.craigslist.org/00L0L_9Plrv1IkRXIz_0ak07K_600x450.jpg,sc,32.993,-80.1257,2021-05-04T14:34:54-0400
212884,7304654051,fargo / moorhead,14990,2011.0,ford,f-150 xlt,excellent,6 cylinders,gas,115811.0,clean,automatic,4wd,full-size,pickup,red,https://images.craigslist.org/00404_7QDjKRbgn1C_0jm0ew_600x450.jpg,mn,47.920244,-97.044974,2021-04-10T09:36:44-0500
399376,7315270482,winchester,23000,2016.0,honda,odyssey ex-l,excellent,6 cylinders,gas,58000.0,clean,automatic,fwd,full-size,mini-van,white,https://images.craigslist.org/00V0V_dhUJa7YziQAz_0CI0t2_600x450.jpg,va,39.1501,-78.269,2021-05-01T10:11:01-0400
283624,7315295145,new hampshire,29990,2015.0,audi,a5,like new,4 cylinders,gas,31867.0,clean,automatic,4wd,mid-size,convertible,black,https://images.craigslist.org/00C0C_acY2THdd5LMz_0kE0fu_600x450.jpg,nh,42.659124,-71.262458,2021-05-01T10:59:25-0400
218164,7302732903,st cloud,29995,2020.0,jeep,grand cherokee laredo,like new,6 cylinders,gas,20005.0,clean,automatic,4wd,full-size,SUV,black,https://images.craigslist.org/00j0j_jPyKI1uswC4z_0cU08z_600x450.jpg,mn,45.833119,-95.387931,2021-04-06T13:39:10-0500
73755,7312329610,colorado springs,2800,2001.0,jeep,grand cherokee laredo,good,8 cylinders,gas,275000.0,clean,automatic,4wd,full-size,SUV,blue,https://images.craigslist.org/00W0W_17zU0p27XDIz_0gw0co_600x450.jpg,co,39.045826,-104.822102,2021-04-25T09:14:17-0600
119312,7312929453,tampa bay area,6995,2005.0,dodge,sprinter 2500,good,5 cylinders,diesel,399198.0,clean,automatic,rwd,full-size,van,white,https://images.craigslist.org/00r0r_jLAY1FJs2yz_07K0ak_600x450.jpg,fl,27.8387,-82.7151,2021-04-26T14:16:36-0400
52939,7316049977,sacramento,4900,2007.0,mazda,3,good,4 cylinders,gas,125000.0,salvage,automatic,fwd,compact,hatchback,white,https://images.craigslist.org/00a0a_inhiEvvlNVaz_0t20CI_600x450.jpg,ca,38.6711,-121.1093,2021-05-02T19:36:20-0700
119344,7316698484,treasure coast,8000,2005.0,ford,f-250,good,8 cylinders,diesel,250000.0,clean,automatic,rwd,full-size,pickup,blue,https://images.craigslist.org/00B0B_fRhPyutgblWz_0CI0t2_600x450.jpg,fl,27.2625,-80.3793,2021-05-04T10:24:16-0400
323302,7316585714,portland,12000,2007.0,toyota,fj cruiser,fair,6 cylinders,gas,169663.0,clean,automatic,rwd,mid-size,SUV,black,https://images.craigslist.org/00909_kIQIYCyXuo2z_0CI0t2_600x450.jpg,or,45.3911,-122.6132,2021-05-03T20:42:43-0700
179130,7312389194,maine,11995,2013.0,ford,explorer,good,6 cylinders,gas,118000.0,clean,automatic,4wd,full-size,SUV,orange,https://images.craigslist.org/00e0e_gzjCdMVBpVRz_0CI0t2_600x450.jpg,me,42.5959,-72.2267,2021-04-25T13:06:32-0400
295306,7316345432,columbus,4500,2010.0,chrysler,town & country,fair,4 cylinders,gas,190000.0,clean,automatic,fwd,full-size,mini-van,blue,https://images.craigslist.org/00000_c78BfdBBwSwz_0dz0t2_600x450.jpg,oh,40.1093,-83.1146,2021-05-03T14:44:33-0400
275785,7316153002,new york city,26750,2006.0,chevrolet,corvette,good,8 cylinders,gas,50456.0,clean,automatic,rwd,mid-size,coupe,grey,https://images.craigslist.org/00A0A_i0gaHpb8CElz_0kE0fu_600x450.jpg,ny,43.21699,-77.75561,2021-05-03T09:36:34-0400
82355,7310016773,western slope,24999,2003.0,ram,2500,like new,6 cylinders,diesel,60000.0,clean,manual,rwd,full-size,truck,grey,https://images.craigslist.org/00505_ainyDPpl1Bgz_0x30oM_600x450.jpg,co,39.075381,-108.570949,2021-04-20T14:30:58-0600
198100,7314278670,detroit metro,4700,2012.0,cadillac,cts,excellent,6 cylinders,gas,165000.0,clean,automatic,rwd,mid-size,sedan,black,https://images.craigslist.org/00p0p_hQqxQUjjmdhz_0CI0t2_600x450.jpg,mi,42.4468,-83.085308,2021-04-29T09:54:02-0400
282129,7310592767,utica-rome-oneida,9500,2008.0,ford,f250,good,8 cylinders,gas,96500.0,clean,automatic,4wd,full-size,truck,silver,https://images.craigslist.org/00n0n_3jKW4DsuROOz_0t20CI_600x450.jpg,ny,43.2193,-75.4498,2021-04-21T18:26:09-0400
109414,7311373710,sarasota-bradenton,7991,2009.0,dodge,grand caravan,good,6 cylinders,gas,93000.0,clean,automatic,fwd,full-size,van,custom,https://images.craigslist.org/00c0c_DRUunbKB1vz_0kE0fu_600x450.jpg,fl,27.08745,-82.43085,2021-04-23T11:47:17-0400
